epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
95,1625.84,0.6482,1.04354,1.25594,0.70631,0.78554,0.80373,0.69534,0.63522,0.93235,1.11381,1.51758,0.0090694,0.0090694,0.0090694
96,1642.83,0.64241,1.05428,1.25649,0.73628,0.74633,0.79259,0.66651,0.63132,0.9221,1.12496,1.50417,0.0090595,0.0090595,0.0090595
97,1659.61,0.66583,1.02886,1.26696,0.69749,0.78817,0.85162,0.71389,0.67111,0.97982,1.2346,1.55763,0.0090496,0.0090496,0.0090496
98,1676.76,0.63572,1.05032,1.25355,0.76357,0.80975,0.84183,0.70453,0.67059,0.91181,0.99431,1.47964,0.0090397,0.0090397,0.0090397
99,1693.7,0.64585,1.01228,1.25789,0.76995,0.83553,0.84741,0.74338,0.6876,0.8821,0.94813,1.41136,0.0090298,0.0090298,0.0090298
100,1710.8,0.65508,0.9821,1.26472,0.74425,0.84515,0.84275,0.74995,0.69025,0.8534,0.91417,1.41927,0.0090199,0.0090199,0.0090199
101,1727.82,0.64168,1.0094,1.24527,0.78658,0.76105,0.84119,0.74796,0.68962,0.89057,0.96546,1.44184,0.00901,0.00901,0.00901
102,1744.6,0.62344,0.99763,1.24312,0.74952,0.74296,0.8276,0.71129,0.67291,0.87017,1.03602,1.41999,0.0090001,0.0090001,0.0090001
103,1761.62,0.64566,1.03173,1.26269,0.68215,0.75551,0.77022,0.67025,0.62491,0.86264,1.01851,1.41676,0.0089902,0.0089902,0.0089902
104,1778.33,0.645,1.01696,1.25408,0.75915,0.7952,0.82216,0.71647,0.64981,0.90888,0.97343,1.48269,0.0089803,0.0089803,0.0089803
105,1795.19,0.63586,0.99412,1.25871,0.79487,0.76044,0.86092,0.76051,0.70708,0.88547,0.99564,1.4509,0.0089704,0.0089704,0.0089704
106,1812.1,0.63809,1.01152,1.26033,0.66111,0.80182,0.78744,0.66968,0.62692,0.92749,1.1185,1.50327,0.0089605,0.0089605,0.0089605
